director,distributor,duration,genres,image_url,main_actors,nationality,press_eval,release_date,title,viewers_eval,views
"Olivier Van Hoofstadt,Frédéric Jurie,Olivier Van Hoofstadt",UGC Distribution / TF1 Studio,1h 29min,Comédie,https://fr.web.img3.acsta.net/c_310_420/pictures/23/06/27/15/10/4186702.jpg," Artus,Elsa Zylberstein,Benjamin Tranié",France,,2023-08-09,Veuillez nous excuser pour la gêne occasionnée,,91670
"Neill Blomkamp,Jason Hall,Zach Baylin",Sony Pictures Releasing France,2h 14min,"Action,Drame",https://fr.web.img5.acsta.net/c_310_420/pictures/23/05/03/10/55/2291595.jpg,"David Harbour,Orlando Bloom,Archie Madekwe",U.S.A.,,2023-08-09,Gran Turismo: Based On a True Story,,11767
"Frédéric Mermoud,Anton Likiernik,Frédéric Mermoud",Pyramide Distribution,1h 47min,Drame,https://fr.web.img2.acsta.net/c_310_420/pictures/23/07/11/16/38/5245264.jpg,"Suzanne Jouannet,Marie Colomb,Maud Wyler",France,,2023-08-09,La Voie Royale,,34590
"Hafsteinn Gunnar Sigurðsson,Hafsteinn Gunnar Sigurðsson,Halldór Halldórsson",Rezo Films,1h 37min,Comédie,https://fr.web.img3.acsta.net/c_310_420/pictures/23/06/23/12/26/4600228.jpg,"Timothy Spall,Emun Elliott,Ella Rumpf",Islande,,2023-08-09,Northern Comfort,,33419
"Rémi Bezançon,Rémi Bezançon",Zinc Film,1h 35min,Comédie,https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/13/09/38/4520212.jpg,"Vincent Macaigne,Bouli Lanners,Bastien Ughetto",France,,2023-08-09,Un coup de maître,,20791
"Jeff Rowe,Kyler Spears,Brendan O'Brien",Paramount Pictures France,1h 39min,"Animation,Action,Aventure",https://fr.web.img2.acsta.net/c_310_420/pictures/23/06/28/10/49/2274361.jpg,"Jean-Stan du Pac,Nicolas Cantu,Kylian Trouillard",U.S.A.,,2023-08-09,Teenage Mutant Ninja Turtles: Mutant Mayhem,,6670
"Sofia Alaoui,Sofia Alaoui",Ad Vitam,1h 30min,"Drame,Fantastique",https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/05/15/09/1350147.jpg,"Oumaïma Barid,Mehdi Dehbi,Fouad Oughaou",France,,2023-08-09,Animalia,,847
"Anil Sharma,Shaktimaan Talwar",Night ed films,2h 45min,"Action,Drame",https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/18/16/10/4825236.jpg,"Sunny Deol,Ameesha Patel,Gaurav Chopra",Inde,,2023-08-11,Gadar 2,,169
"Vuk Lungulov-Klotz,Vuk Lungulov-Klotz",Dulac Distribution,1h 22min,Drame,https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/11/17/07/4869405.jpg,"Lio Mehiel,Cole Doman,MiMi Ryder",U.S.A.,,2023-08-09,Mutt,,510
"Mai Zetterling,Mai Zetterling",Carlotta Films,1h 57min,"Biopic,Drame",https://fr.web.img2.acsta.net/c_310_420/pictures/23/05/17/14/58/0469344.jpg,"Stina Ekblad,Erland Josephson,Philip Zanden",Suède,,2023-08-09,Amorosa,,
"Meher Ramesh, Siva",Friday Entertainment,2h 30min,"Action,Drame",https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/27/14/01/2154313.jpg," Chiranjeevi,Tamannaah Bhatia,Vennela Kishore",Inde,,2023-08-11,Bholaa Shankar,,
"Amanda Sthers,Amanda Sthers",Madeleine films,1h 54min,Drame,https://fr.web.img2.acsta.net/c_310_420/pictures/23/06/13/17/10/3315486.jpg,"Pierfrancesco Favino,Kelly Reilly,Jean Reno",France,,2023-08-09,Promises,,27270
Jae-kyung Lim,Pathé Live,2h 04min,Concert,https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/10/18/23/4252580.jpg,,Corée,,2023-08-10,Mamamoo : My Con The Movie,,
"Aritz Moreno,Javier Gullón",Damned Distribution,1h 43min,"Drame,Comédie",https://fr.web.img4.acsta.net/c_310_420/pictures/23/05/04/12/13/1664813.jpg,"Luis Tosar,Pilar Castro,Ernesto Alterio",Espagne,,2023-08-09,Ventajas de viajar en tren,,1581
