country,entrance,title,week
Box Office France,930141,Mission: Impossible – Dead Reckoning Partie 1,2023-07-18
Box Office France,32179,Les Herbes sèches,2023-07-18
Box Office France,284,Ollie & compagnie,2023-07-18
Box Office France,4480,Maaveeran,2023-07-18
Box Office France,1204,Assaut,2023-07-18
Box Office France,22450,Le Retour,2023-07-18
Box Office France,125566,Les Algues vertes,2023-07-18
Box Office France,23509,Limbo,2023-07-18
Box Office France,24387,The House That Jack Built,2023-07-18
Box Office France,116437,Melancholia,2023-07-18
Box Office France,63719,Antichrist,2023-07-18
Box Office France,1110,L'Éducation d'Ademoka,2023-07-18
Box Office France,122090,Dogville,2023-07-18
Box Office US,1200000,Memento,2023-07-18
Box Office France,13176,Petit Jésus,2023-07-18
country,entrance,title,week
Box Office France,32179,Les Herbes sèches,2023-07-18
Box Office France,930141,Mission: Impossible – Dead Reckoning Partie 1,2023-07-18
Box Office France,116437,Melancholia,2023-07-18
Box Office France,284,Ollie & compagnie,2023-07-18
Box Office France,24387,The House That Jack Built,2023-07-18
Box Office France,1110,L'Éducation d'Ademoka,2023-07-18
Box Office France,13176,Petit Jésus,2023-07-18
Box Office France,63719,Antichrist,2023-07-18
Box Office France,23509,Limbo,2023-07-18
Box Office France,22450,Le Retour,2023-07-18
Box Office France,125566,Les Algues vertes,2023-07-18
Box Office US,1200000,Memento,2023-07-18
Box Office France,4480,Maaveeran,2023-07-18
Box Office France,122090,Dogville,2023-07-18
Box Office France,1204,Assaut,2023-07-18
country,entrance,title,week
Box Office France,22450,Le Retour,2023-07-18
Box Office France,23509,Limbo,2023-07-18
Box Office France,125566,Les Algues vertes,2023-07-18
Box Office France,32179,Les Herbes sèches,2023-07-18
Box Office US,1200000,Memento,2023-07-18
Box Office France,63719,Antichrist,2023-07-18
Box Office France,116437,Melancholia,2023-07-18
Box Office France,284,Ollie & compagnie,2023-07-18
Box Office France,13176,Petit Jésus,2023-07-18
Box Office France,930141,Mission: Impossible – Dead Reckoning Partie 1,2023-07-18
Box Office France,1110,L'Éducation d'Ademoka,2023-07-18
Box Office France,122090,Dogville,2023-07-18
Box Office France,4480,Maaveeran,2023-07-18
Box Office France,1204,Assaut,2023-07-18
Box Office France,24387,The House That Jack Built,2023-07-18
country,entrance,title,week
Box Office France,284,Ollie & compagnie,2023-07-18
Box Office France,32179,Les Herbes sèches,2023-07-18
Box Office France,22450,Le Retour,2023-07-18
Box Office France,930141,Mission: Impossible – Dead Reckoning Partie 1,2023-07-18
Box Office France,23509,Limbo,2023-07-18
Box Office France,116437,Melancholia,2023-07-18
Box Office US,1200000,Memento,2023-07-18
Box Office France,13176,Petit Jésus,2023-07-18
Box Office France,63719,Antichrist,2023-07-18
Box Office France,1110,L'Éducation d'Ademoka,2023-07-18
Box Office France,125566,Les Algues vertes,2023-07-18
Box Office France,122090,Dogville,2023-07-18
Box Office France,4480,Maaveeran,2023-07-18
Box Office France,1204,Assaut,2023-07-18
country,entrance,title,week
Box Office France,23509,Limbo,2023-07-18
Box Office France,125566,Les Algues vertes,2023-07-18
Box Office France,13176,Petit Jésus,2023-07-18
Box Office France,930141,Mission: Impossible – Dead Reckoning Partie 1,2023-07-18
Box Office US,1200000,Memento,2023-07-18
country,entrance,title,week
Box Office France,125566,Les Algues vertes,2023-07-18
Box Office France,32179,Les Herbes sèches,2023-07-18
Box Office US,1200000,Memento,2023-07-18
Box Office France,13176,Petit Jésus,2023-07-18
Box Office France,22450,Le Retour,2023-07-18
Box Office France,930141,Mission: Impossible – Dead Reckoning Partie 1,2023-07-18
Box Office France,63719,Antichrist,2023-07-18
Box Office France,1204,Assaut,2023-07-18
Box Office France,116437,Melancholia,2023-07-18
Box Office France,4480,Maaveeran,2023-07-18
Box Office France,284,Ollie & compagnie,2023-07-18
Box Office France,1110,L'Éducation d'Ademoka,2023-07-18
Box Office France,122090,Dogville,2023-07-18
Box Office France,24387,The House That Jack Built,2023-07-18
country,entrance,title,week
Box Office France,13176,Petit Jésus,2023-07-18
Box Office France,930141,Mission: Impossible – Dead Reckoning Partie 1,2023-07-18
Box Office France,23509,Limbo,2023-07-18
Box Office France,32179,Les Herbes sèches,2023-07-18
Box Office France,125566,Les Algues vertes,2023-07-18
Box Office France,284,Ollie & compagnie,2023-07-18
Box Office France,1204,Assaut,2023-07-18
Box Office France,22450,Le Retour,2023-07-18
Box Office US,1200000,Memento,2023-07-18
Box Office France,4480,Maaveeran,2023-07-18
Box Office France,63719,Antichrist,2023-07-18
Box Office France,116437,Melancholia,2023-07-18
Box Office France,1110,L'Éducation d'Ademoka,2023-07-18
Box Office France,122090,Dogville,2023-07-18
Box Office France,24387,The House That Jack Built,2023-07-18
country,entrance,title,week
Box Office France,930141,Mission: Impossible – Dead Reckoning Partie 1,2023-07-18
Box Office US,1200000,Memento,2023-07-18
Box Office France,32179,Les Herbes sèches,2023-07-18
Box Office France,13176,Petit Jésus,2023-07-18
Box Office France,23509,Limbo,2023-07-18
Box Office France,22450,Le Retour,2023-07-18
Box Office France,125566,Les Algues vertes,2023-07-18
Box Office France,284,Ollie & compagnie,2023-07-18
Box Office France,24387,The House That Jack Built,2023-07-18
Box Office France,1110,L'Éducation d'Ademoka,2023-07-18
Box Office France,1204,Assaut,2023-07-18
Box Office France,63719,Antichrist,2023-07-18
Box Office France,116437,Melancholia,2023-07-18
Box Office France,4480,Maaveeran,2023-07-18
Box Office France,122090,Dogville,2023-07-18
country,entrance,title,week
Box Office France,930141,Mission: Impossible – Dead Reckoning Partie 1,2023-07-18
Box Office France,13176,Petit Jésus,2023-07-18
Box Office US,1200000,Memento,2023-07-18
Box Office France,32179,Les Herbes sèches,2023-07-18
Box Office France,1110,L'Éducation d'Ademoka,2023-07-18
Box Office France,22450,Le Retour,2023-07-18
Box Office France,125566,Les Algues vertes,2023-07-18
Box Office France,23509,Limbo,2023-07-18
Box Office France,1204,Assaut,2023-07-18
Box Office France,116437,Melancholia,2023-07-18
Box Office France,63719,Antichrist,2023-07-18
Box Office France,284,Ollie & compagnie,2023-07-18
Box Office France,122090,Dogville,2023-07-18
Box Office France,4480,Maaveeran,2023-07-18
Box Office France,24387,The House That Jack Built,2023-07-18
country,entrance,title,week
Box Office France,23509,Limbo,2023-07-18
Box Office France,32179,Les Herbes sèches,2023-07-18
Box Office France,13176,Petit Jésus,2023-07-18
Box Office France,1204,Assaut,2023-07-18
Box Office France,22450,Le Retour,2023-07-18
Box Office France,284,Ollie & compagnie,2023-07-18
Box Office France,930141,Mission: Impossible – Dead Reckoning Partie 1,2023-07-18
Box Office France,125566,Les Algues vertes,2023-07-18
Box Office France,116437,Melancholia,2023-07-18
Box Office France,1110,L'Éducation d'Ademoka,2023-07-18
Box Office US,1200000,Memento,2023-07-18
Box Office France,63719,Antichrist,2023-07-18
Box Office France,24387,The House That Jack Built,2023-07-18
Box Office France,122090,Dogville,2023-07-18
Box Office France,4480,Maaveeran,2023-07-18
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
Synopsis,,,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
Synopsis,,,2023-07-26
Synopsis,,,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office France,289036,Persepolis,2023-07-26
country,entrance,title,week
Box Office US,80500000,Oppenheimer,2023-07-25
Box Office US,155000000,Barbie,2023-07-25
country,entrance,title,week
Box Office US,80500000,Oppenheimer,2023-07-25
Box Office US,155000000,Barbie,2023-07-25
