distributor,frequency
Metropolitan FilmExport,258
Universal Pictures International France,243
Le Pacte,206
Warner Bros. France,183
Twentieth Century Fox France,165
StudioCanal,160
Pyramide Distribution,158
Pathé,156
Sony Pictures Releasing France,154
Mars Films,150
SND,142
UGC Distribution,139
Wild Bunch Distribution,134
Ad Vitam,128
Diaphana Distribution,127
Gaumont Distribution,124
ARP Sélection,115
The Walt Disney Company France,114
Paramount Pictures France,107
Haut et Court,95
Bac Films,86
KMBO,83
Eurozoom,83
Rezo Films,79
Memento Distribution,76
Dulac Distribution,73
Epicentre Films,71
Les Films du Losange,70
Bodega Films,66
Shellac,65
Jour2fête,64
Les Bookmakers,56
EuropaCorp Distribution,56
Condor Distribution,55
UFO Distribution,54
Apollo Films,43
The Jokers,42
Capricci Films,41
Arizona Distribution,41
Zootrope Films,38
Bellissima Films,37
Urban Distribution,35
Happiness Distribution,35
ASC Distribution,33
Damned Distribution,31
Alfama Films,30
Zelig Films Distribution,27
Outplay Films,26
Nour Films,26
JHR Films,26
Potemkine Films,26
Ed Distribution,25
Gebeka Films,25
MK2 Diffusion,23
Pretty Pictures,23
Paname Distribution,23
Océan Films,23
Art House,23
Alba Films,22
Destiny Films,22
KapFilms,22
Les Films du Préau,22
Wayna Pitch,20
Orange Studio Distribution,19
Paradis Films,19
Les Acacias,18
Tamasa Distribution,17
Wild Side Films,17
New Story,17
Optimale Distribution,16
Chrysalis Films,16
DistriB Films,15
Tandem,15
Films sans Frontières,14
La Belle Company,14
Aramis Films,13
Septième Factory,13
Cinéma Saint-André des Arts,12
Orange Studio,11
Les Films à Fleur de Peau,10
ZED,10
Hévadis Films,10
Star Invest Films France,10
Bobine Films,10
Kinovista,9
Jupiter Films,9
Norte Distribution,9
SBS Distribution,9
TF1 Vidéo,8
Survivance,8
VisioSfeir,8
Equation,8
Saje Distribution,7
La Vingt-Cinquième Heure,7
A3 Distribution,7
Premium Films,7
MC4 Distribution,6
NiZ !,6
Contre-Allée Distribution,6
Chapeau Melon Distribution,6
Rouge Distribution,6
Vendredi Distribution,6
Les Films des Deux Rives,6
Mica Films,6
Albany Films distribution,6
Cinéma Public Films,6
Carlotta Films,6
Diaphana Films,6
L'Atelier Distribution,6
Météore Films,6
Légende Distribution,5
Stray Dogs Distribution,5
Blaq Out,5
JML Distribution,5
Les Valseurs,5
Dissidenz Films,4
La Fabrique 2,4
Colifilms Diffusion,4
Solaris Distribution,4
Panoceanic Films,4
LFR Films,4
Margo Cinema,4
DHR distribution,4
Les Alchimistes,4
Moonlight Films Distribution,4
Tanzi Distribution,4
Why Not Productions,4
CGR EVENTS,4
Héliotrope Films,4
A Vif Cinemas,4
Zinc Film,4
Les Films de l'Atalante,4
Luminor,4
Night ed films,3
CTV International,3
Next Film Distribution,3
La Traverse,3
Ciné Classic,3
Fratel Films,3
UGC Ph,3
Dark Star Presse,3
Local Films,3
Stone Angels,3
TF1 Studio,3
Les Films du Camelia,3
Splendor Films,3
Euro TV,3
Aanna Films,3
Contre-Courants,3
Tucuman Films,3
Atypik Films,3
Fondivina Films,3
Promenades Films,3
White Pictures,3
Floris Films,3
Pan Distribution,3
Ouragan films,3
Help Distribution,3
Les Films du Paradoxe,3
Jour2Fête,2
ESC Films,2
Condor,2
Commune Image Media,2
Dean Medias,2
Zeugma Films,2
Wild Side,2
Borealia Films,2
Noblesse Oblige Distribution,2
Wide Distribution,2
BlueBird Distribution,2
Dialectik,2
Pathé Live,2
UPL Films Distributions,2
Esperanza Productions,2
Grizouille Films,2
Sarah Films,2
Zylo,2
Seven 7,2
Takami Distribution,2
2iFILMS,2
Artédis,2
Malavida Films,2
Atopic,2
M6 Vidéo,2
Happiness,2
Mag Distribution,2
Sokol films,2
MK2,2
Arte,2
Sony Pictures Home Entertainment,2
Synergy Cinéma,2
Marco Polo Production,2
Luminor (La Fabrique),2
Orange studio,2
ACE Entertainment Films,2
Pointligneplan,2
Carron Distribution,2
Ligne 7,2
Diaphana,2
Studio 37,2
Les Films 13,2
Trésor Cinéma,2
Filmo,2
Studio Galande,1
Films Connection,1
Les Films à un dollar,1
Blue Monday Productions,1
Ciné-Sud Promotion,1
Burgos Films,1
Marc Guidoni,1
Mangoustine,1
Les Enragés,1
Arcadès,1
Owls Agency,1
CFA programmation et distribution,1
Axxon Films,1
Commune Image,1
Big Bang Films,1
Oreo,1
Cinémadefacto,1
Les Grands Films Classiques,1
Accatone Distribution,1
Le Chien qui Aboie,1
Baba Yaga Films,1
Les Films de l'Astre,1
French distribution,1
Strutt Films,1
Potemkine Editions,1
Paris Black Films,1
Les Films Sauvages,1
Cinégénie,1
Kinterfin,1
Autour de minuit,1
Atlantis,1
Les Films Aramis,1
Caboche,1
La Mare Distribution,1
AMV Production,1
Acrobates Films,1
AZ Films,1
La Huit,1
Araprod,1
Merlin Films,1
3L Films,1
Les Films Pelléas,1
Les Films du jour,1
Tous Seuls Production,1
Seven Light,1
Tchoko-Tchoko Productions,1
Productions 9,1
Dyssomnia Films,1
Les Productions Aléatoires,1
Paraiso,1
La Huit Distribution,1
Ecransud Distribution,1
Neffa Films,1
Artmell,1
Wajnbrosse Productions,1
Testukine,1
TS Productions,1
Les Films du Poisson,1
Geko Films,1
Richard Wagner Productions,1
Version Originale,1
Perspective Films,1
Jour2fete,1
Hélios Films,1
New Story District,1
Little KMBO,1
Hippocampe Productions,1
Surreal Distribution,1
Blue Moon Distribution,1
Studio Canal,1
Paramax Films,1
Makadam Distribution,1
Universal Pictures France (UPF),1
Quinta Distribution,1
ADR Distribution,1
MUBI,1
Jour 2 Fête,1
MLA FILMS,1
Vent d'Ouest Distribution,1
Bon Voyage Films,1
Babaika,1
France Télévision Distribution,1
France 3,1
Recidive,1
Panorama Films,1
EuropaCorp,1
ESC Editions,1
Goodfellas,1
Mob productions,1
UFO,1
Cartel Distrib,1
Backup Films,1
To Be Continued,1
Help! Distribution,1
Les Films du Whippet,1
Albany films,1
Sonata Films,1
Capricci,1
ADR Productions,1
French Distribution,1
Aloest Distribution,1
Cassia's productions,1
Paraiso Production Diffusion,1
Vent d'Ouest Production,1
Aldudarrak Bideo,1
Les Films de l'Envers,1
Eivissa Productions,1
Sedna Films,1
Cinétévé,1
IberiFilms,1
Quizas Prod,1
KG Productions,1
La Butte Distribution,1
Thunder Films International,1
Cinessonne,1
Re-Distribution,1
La Fabrica Nocturna Cinéma,1
Folimage Studio,1
Mission,1
L.C.J. Editions et Productions,1
Mad Films,1
21films,1
Donoma Guerilla,1
Karmafilms Distribution,1
Ouranos Films,1
Yaraa Distribution,1
Mitiki,1
Dix-Huit jours,1
Almano Films,1
Paramount Home Entertainment,1
