iter	RMSE
0	278061.778
1	276776.602
2	275430.56
3	274217.7817
4	273051.3994
5	271816.9457
6	270509.2404
7	269169.862
8	268117.2873
9	266961.4325
10	265937.1525
11	264896.7748
12	263668.0093
13	262747.8548
14	261620.6066
15	260551.3477
16	259532.7905
17	258488.1826
18	257429.5923
19	256316.7918
20	255311.2446
21	254271.0478
22	253248.1095
23	252087.988
24	251173.2335
25	250286.4615
26	249362.4984
27	248401.8984
28	247503.221
29	246529.1563
30	245414.3545
31	244450.0324
32	243571.9976
33	242635.8529
34	241826.2059
35	240823.6852
36	239929.6916
37	239106.6382
38	238255.0317
39	237440.2571
40	236610.4575
41	235801.3002
42	234899.1144
43	234105.0345
44	233391.6079
45	232441.4588
46	231713.9349
47	230983.5254
48	230305.3201
49	229682.3879
50	228891.6995
51	228287.3473
52	227488.9279
53	226817.288
54	226032.5961
55	225216.0253
56	224605.0106
57	223933.419
58	223203.2011
59	222524.9426
60	221943.9928
61	221339.6229
62	220615.9201
63	219869.653
64	219281.4636
65	218518.273
66	217921.4802
67	217221.6996
68	216441.726
69	215848.7963
70	215146.9833
71	214490.6282
72	213888.4597
73	213221.7319
74	212638.6524
75	212110.7589
76	211476.2097
77	210960.5243
78	210372.4594
79	209793.8968
80	209224.389
81	208718.4306
82	207913.6815
83	207351.364
84	206849.5806
85	206305.413
86	205761.0151
87	205303.2888
88	204702.181
89	204177.9786
90	203513.9425
91	203123.4289
92	202631.8965
93	202172.7986
94	201813.6441
95	201439.8462
96	201012.3547
97	200597.1146
98	199986.4224
99	199352.1408
100	198950.9117
101	198481.1229
102	198029.3182
103	197473.8677
104	196968.2705
105	196639.4714
106	196257.0545
107	195968.8677
108	195607.6407
109	195200.486
110	194818.7257
111	194263.64
112	193714.439
113	193315.3874
114	192976.0979
115	192637.9439
116	192336.7605
117	191899.2312
118	191724.7718
119	191320.3667
120	191061.4238
121	190613.1184
122	190284.1727
123	189898.5183
124	189420.2107
125	189225.1781
126	188966.627
127	188603.9835
128	188198.2027
129	187802.2553
130	187553.7269
131	187361.4407
132	187004.2658
133	186628.0105
134	186311.8538
135	185997.116
136	185608.4772
137	185337.0167
138	184937.4027
139	184689.9847
140	184253.8241
141	183916.5322
142	183669.863
143	183409.8746
144	183195.2226
145	182939.3436
146	182630.8463
147	182433.3231
148	182122.6575
149	181907.3667
150	181796.608
151	181578.2189
152	181250.1012
153	180999.265
154	180576.1378
155	180222.1404
156	179769.8467
157	179328.2076
158	179042.1961
159	178820.238
160	178544.3395
161	178145.9089
162	177885.9892
163	177530.9526
164	177207.8545
165	176958.4085
166	176824.1366
167	176563.9561
168	176054.5711
169	175891.4271
170	175648.3334
171	175518.3965
172	175316.9698
173	175135.4051
174	174905.1826
175	174753.5159
176	174428.5676
177	174175.5481
178	173978.649
179	173800.5278
180	173510.5641
181	173326.4881
182	172950.8763
183	172728.7568
184	172436.539
185	172188.7397
186	172044.0298
187	171735.7961
188	171514.638
189	171236.1212
190	170854.1872
191	170639.1748
192	170416.0904
193	170237.4019
194	170090.6018
195	169908.0167
196	169708.4114
197	169529.9258
198	169306.1561
199	169164.2537
200	168795.4015
201	168472.4734
