iter	Passed	Remaining
0	4	4562
1	8	4279
2	13	4361
3	17	4389
4	21	4360
5	26	4374
6	30	4355
7	35	4443
8	39	4382
9	44	4359
10	48	4320
11	52	4320
12	56	4318
13	58	4092
14	62	4097
15	66	4078
16	71	4153
17	76	4169
18	81	4194
19	86	4215
20	88	4131
21	93	4144
22	99	4230
23	104	4258
24	109	4268
25	114	4302
26	119	4314
27	124	4331
28	130	4354
29	135	4371
30	140	4382
31	145	4389
32	150	4410
33	155	4408
34	160	4432
35	165	4423
36	170	4425
37	174	4424
38	180	4439
39	184	4439
40	190	4445
41	196	4491
42	201	4493
43	208	4534
44	214	4551
45	220	4573
46	226	4600
47	233	4624
48	238	4633
49	243	4632
50	250	4663
51	256	4670
52	261	4678
53	267	4689
54	272	4682
55	285	4821
56	290	4813
57	295	4802
58	303	4835
59	307	4823
60	315	4857
61	321	4857
62	325	4843
63	330	4834
64	335	4824
65	341	4836
66	346	4829
67	351	4821
68	356	4804
69	363	4823
70	367	4813
71	373	4809
72	379	4812
73	383	4803
74	389	4802
75	395	4802
76	399	4794
77	405	4796
78	411	4793
79	416	4790
80	422	4791
81	428	4799
82	433	4784
83	437	4766
84	442	4763
85	447	4751
86	451	4742
87	456	4735
88	462	4733
89	467	4726
90	473	4728
91	479	4729
92	484	4728
93	491	4738
94	496	4726
95	501	4725
96	506	4712
97	511	4709
98	516	4697
99	521	4690
100	525	4681
101	530	4670
102	535	4659
103	540	4653
104	544	4642
105	548	4628
106	552	4610
107	557	4601
108	561	4591
109	566	4587
110	572	4582
111	577	4576
112	581	4563
113	588	4571
114	594	4572
115	599	4567
116	606	4577
117	612	4575
118	613	4544
119	618	4532
120	621	4515
121	626	4507
122	630	4498
123	635	4490
124	640	4483
125	641	4450
126	645	4440
127	650	4430
128	655	4423
129	660	4418
130	667	4430
131	672	4421
132	676	4411
133	681	4402
134	687	4407
135	692	4399
136	696	4389
137	701	4382
138	705	4372
139	710	4366
140	715	4361
141	720	4354
142	725	4346
143	729	4334
144	737	4348
145	739	4324
146	743	4317
147	747	4304
148	752	4298
149	757	4291
150	758	4263
151	763	4259
152	768	4252
153	772	4243
154	776	4233
155	782	4232
156	787	4227
157	793	4228
158	798	4221
159	803	4218
160	808	4211
161	812	4202
162	818	4202
163	823	4195
164	827	4188
165	833	4188
166	839	4186
167	845	4185
168	849	4178
169	854	4170
170	859	4164
171	864	4162
172	869	4155
173	873	4147
174	879	4147
175	884	4140
176	889	4133
177	893	4127
178	898	4120
179	902	4111
180	906	4103
181	911	4097
182	916	4091
183	920	4082
184	925	4076
185	930	4072
186	934	4063
187	938	4053
188	944	4054
189	949	4048
190	955	4048
191	961	4044
192	966	4040
193	970	4033
194	975	4027
195	980	4020
196	984	4014
197	989	4009
198	995	4008
199	1002	4010
200	1008	4007
201	1013	4004
202	1018	3999
203	1023	3993
204	1027	3985
205	1031	3977
206	1035	3968
207	1041	3964
208	1045	3958
209	1049	3949
210	1052	3935
211	1057	3930
212	1062	3923
213	1066	3918
214	1071	3913
215	1076	3908
216	1081	3900
217	1086	3896
218	1091	3891
219	1095	3883
220	1099	3876
221	1104	3871
222	1108	3863
223	1113	3858
224	1118	3850
225	1123	3846
226	1127	3838
227	1133	3838
228	1138	3833
229	1139	3816
230	1144	3809
231	1149	3806
232	1155	3802
233	1159	3795
234	1163	3788
235	1168	3782
236	1173	3776
237	1178	3772
238	1183	3768
239	1189	3766
240	1194	3762
241	1199	3756
242	1205	3755
243	1210	3749
244	1215	3745
245	1220	3740
246	1224	3733
247	1225	3717
248	1231	3715
249	1245	3737
250	1248	3725
251	1254	3722
252	1259	3717
253	1264	3713
254	1269	3708
255	1274	3704
256	1280	3701
257	1285	3697
258	1290	3691
259	1294	3685
260	1299	3680
261	1304	3673
262	1308	3665
263	1312	3659
264	1317	3653
265	1322	3649
266	1327	3643
267	1332	3640
268	1338	3636
269	1342	3629
270	1347	3624
271	1351	3617
272	1356	3613
273	1361	3607
274	1367	3604
275	1371	3598
276	1376	3593
277	1383	3593
278	1388	3588
279	1394	3584
280	1400	3582
281	1405	3577
282	1411	3575
283	1416	3570
284	1422	3568
285	1427	3564
286	1432	3559
287	1437	3553
288	1443	3551
289	1448	3547
290	1454	3543
291	1462	3545
292	1467	3540
293	1472	3536
294	1479	3536
295	1485	3531
296	1490	3528
297	1495	3523
298	1501	3519
299	1505	3513
300	1512	3511
301	1518	3509
302	1524	3507
303	1530	3503
304	1535	3498
305	1540	3494
306	1546	3491
307	1551	3486
308	1557	3482
309	1562	3476
310	1566	3470
311	1572	3466
312	1577	3462
313	1583	3460
314	1589	3456
315	1594	3452
316	1600	3448
317	1606	3445
318	1611	3439
319	1616	3436
320	1622	3432
321	1628	3427
322	1633	3424
323	1639	3420
324	1640	3408
325	1646	3403
326	1651	3398
327	1658	3397
328	1662	3390
329	1667	3384
330	1672	3380
331	1678	3376
332	1683	3371
333	1690	3370
334	1695	3365
335	1700	3360
336	1707	3358
337	1711	3352
338	1716	3346
339	1721	3341
340	1722	3328
341	1727	3322
342	1731	3316
343	1736	3310
344	1741	3306
345	1747	3302
346	1752	3298
347	1757	3293
348	1763	3289
349	1766	3279
350	1770	3274
351	1775	3269
352	1782	3267
353	1789	3266
354	1795	3261
355	1800	3257
356	1805	3252
357	1811	3247
358	1816	3242
359	1821	3237
360	1826	3233
361	1831	3228
362	1836	3222
363	1841	3217
364	1847	3213
365	1852	3209
366	1858	3204
367	1862	3199
368	1868	3195
369	1872	3188
370	1878	3184
371	1882	3178
