,genre,duration,nationality,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,is_holiday,proportion_stars_actors,proportion_stars_producers,proportion_stars_director,distributor_avg_frequency,genre_action,genre_animation,genre_arts martiaux,genre_aventure,genre_biopic,genre_bollywood,genre_comédie,genre_comédie dramatique,genre_comédie musicale,genre_divers,genre_drame,genre_epouvante-horreur,genre_erotique,genre_espionnage,genre_expérimental,genre_famille,genre_fantastique,genre_guerre,genre_historique,genre_judiciaire,genre_musical,genre_policier,genre_péplum,genre_romance,genre_science fiction,genre_sport event,genre_thriller,genre_western
0,"action,fantastique,science fiction",150,U.S.A.,1323124,3.6,4.2,251776.0,250000000.0,16.51,12.96,18.18,18.45,14.96,Spring,True,0.67,0.0,0,114.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,comédie,80,France,63084,2.8,2.6,25555.0,6000000.0,22.19,23.34,21.09,22.09,20.44,Summer,False,0.33,0.0,0,27.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,drame,94,Argentine,3611,3.5,2.6,6778.0,0.0,22.47,22.09,22.19,22.08,21.01,Summer,False,0.0,0.0,0,71.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,comédie dramatique,97,Norvège,14638,3.4,3.4,87714.0,0.0,20.18,16.62,22.32,19.9,20.05,Spring,False,0.0,0.0,0,15.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"thriller,drame",121,France,192422,3.3,3.9,182409.0,0.0,4.54,3.35,4.17,2.44,3.75,Spring,True,0.33,0.0,0,207.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,"comédie,thriller",96,France,50838,2.5,3.7,153661.0,300000.0,24.06,18.45,20.95,22.79,20.12,Autumn,False,0.0,0.0,0,43.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,"aventure,comédie",112,France,1882686,2.4,1.8,409035.0,72000000.0,5.72,7.46,5.88,4.49,5.76,Winter,False,1.0,0.5,1,156.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"biopic,musical",146,U.S.A.,64834,2.5,3.5,54456.0,50000000.0,19.39,9.21,13.53,12.32,10.89,Winter,True,0.0,0.0,0,154.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,comédie,90,France,255537,3.8,2.8,642294.0,0.0,22.41,16.85,22.89,22.95,21.37,Summer,True,0.0,0.0,0,124.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,comédie,91,France,643863,2.9,3.0,979150.0,8600000.0,18.27,16.24,20.79,17.71,14.6,Summer,False,0.67,0.0,0,156.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"comédie,drame,romance",108,U.S.A.,197450,3.5,3.3,196244.0,25000000.0,17.93,9.96,13.45,12.49,10.73,Autumn,True,0.67,1.0,1,114.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,comédie,103,U.S.A.,54361,3.0,3.1,76825.0,45000000.0,22.47,22.09,22.19,22.08,21.01,Summer,False,0.33,0.0,0,154.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,comédie,108,France,2151921,2.4,2.4,1343387.0,0.0,7.2,6.64,8.32,6.28,5.76,Winter,True,0.67,1.0,1,156.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,drame,95,France,438142,3.0,3.6,132143.0,0.0,11.13,8.32,12.74,11.92,10.68,Spring,False,0.33,0.0,0,23.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,comédie,96,U.S.A.,25767,2.3,2.0,133782.0,29100000.0,20.18,16.62,22.32,19.9,20.05,Spring,False,0.33,0.0,0,258.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"thriller,policier",119,U.S.A.,100146,3.7,3.8,84179.0,0.0,14.48,11.15,15.9,14.83,13.54,Spring,True,0.33,0.0,0,258.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
16,drame,90,France,12466,3.5,3.8,99053.0,1200000.0,5.69,4.78,5.45,5.07,5.13,Winter,True,0.0,0.0,0,95.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"biopic,drame",130,Grande-Bretagne,47695,3.1,3.7,26864.0,0.0,11.33,10.05,12.91,11.87,10.8,Spring,False,0.33,0.0,0,134.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,thriller,123,U.S.A.,151272,3.1,3.7,92925.0,35000000.0,18.5,11.94,13.75,15.43,13.4,Autumn,False,0.33,0.0,0,184.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,"action,aventure,fantastique",126,U.S.A.,362905,2.7,3.3,659245.0,175000000.0,17.19,15.49,17.85,16.09,16.52,Spring,False,0.67,0.5,1,184.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
