title,release_date,genre,duration,director,producers,cast,press_eval,viewers_eval,age_limit,nationality,distributor,views,box_office_title,box_office_date,box_office_first_week,box_office_second_week
Un homme heureux,15 février 2023,['Comédie'],1h 29min,Tristan Séguéla,"['Guy Laurent', 'Isabelle Lazard']","['Fabrice Luchini', 'Catherine Frot', 'Philippe Katerine']","3,1","2,9",,France,Gaumont Distribution,87045,['Box Office France'],"['15 au 22 février 2023', '22 février au 1 mars 2023']",233 008,135 617
Gone Girl,8 octobre 2014,"['Thriller', 'Policier', 'Drame']",2h 29min,David Fincher,['Gillian Flynn'],"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris']","4,0","4,3","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Twentieth Century Fox France,1181591,['Box Office France'],"['08 au 15 octobre 2014', '15 au 22 octobre 2014']",539 178,349 702
"Ruby Gillman, Teenage Kraken",28 juin 2023,"['Animation', 'Aventure', 'Famille', 'Action', 'Comédie']",1h 30min,Kirk DeMicco,"['Faryn Pearl', 'Pam Brady', 'Brian C. Brown']","['Lana Condor', 'Toni Collette', 'Jane Fonda']","2,7","2,6",,U.S.A.,Universal Pictures International France,88573,['Box Office US'],"['30 juin 2023 au 3 juillet 2023', '07 au 10 juillet 2023']",5 200 000,2 846 245
Dungeons & Dragons: Honor Among Thieves,12 avril 2023,"['Fantastique', 'Aventure']",2h 14min,Jonathan Goldstein (XII),"['John Francis Daley', 'Jonathan Goldstein (XII)', 'John Francis Daley']","['Chris Pine', 'Michelle Rodriguez', 'Regé-Jean Page']","3,3","3,8",,U.S.A.,Paramount Pictures France,98170,['Box Office France'],"['12 au 19 avril 2023', '19 au 26 avril 2023']",420 168,314 725
Il sol dell’avvenire,28 juin 2023,"['Comédie dramatique', 'Drame', 'Comédie']",1h 35min,Nanni Moretti,"['Francesca Marciano', 'Nanni Moretti']","['Nanni Moretti', 'Margherita Buy', 'Silvio Orlando']","3,9","3,3",,Italie,Le Pacte,102835,['Box Office France'],"['28 juin au 5 juillet 2023', '05 au 12 juillet 2023']",91 786,47 190
Une histoire d'amour et de désir,1 septembre 2021,"['Drame', 'Romance']",1h 42min,Leyla Bouzid,['Leyla Bouzid'],"['Sami Outalbali', 'Zbeida Belhajamor', 'Diong-Keba Tacu']","4,0","3,8",,France,Pyramide Distribution,102033,['Box Office France'],"['01 au 8 septembre 2021', '08 au 15 septembre 2021']",16 502,9 195
Operation Fortune: Ruse De Guerre,,"['Action', 'Thriller', 'Comédie']",1h 54min,Guy Ritchie,"['Ivan Atkinson', 'Marn Davies']","['Jason Statham', 'Aubrey Plaza', 'Cary Elwes']","2,8","2,7",,U.S.A.,,44510,['Box Office US'],"['03 au 6 mars 2023', '10 au 13 mars 2023']",3 140 214,1 272 319
Le Bleu du Caftan,22 mars 2023,"['Drame', 'Romance']",2h 02min,Maryam Touzani,['Maryam Touzani'],"['Lubna Azabal', 'Saleh Bakri', 'Ayoub Missioui']","3,8","4,3",,France,Ad Vitam,141272,['Box Office France'],"['22 au 29 mars 2023', '29 mars au 5 avril 2023']",54 381,41 365
Insidious,15 juin 2011,['Epouvante-horreur'],1h 42min,James Wan,['Leigh Whannell'],"['Patrick Wilson', 'Rose Byrne', 'Ty Simpkins']","3,2","3,5",Interdit aux moins de 12 ans,U.S.A.,Wild Bunch Distribution,2472418,['Box Office France'],"['15 au 22 juin 2011', '22 au 29 juin 2011']",193 688,127 061
Moka,17 août 2016,['Drame'],1h 30min,Frédéric Mermoud,"['Frédéric Mermoud', 'Antonin Martin-Hilbert']","['Emmanuelle Devos', 'Nathalie Baye', 'David Clavel']","3,2","3,0",,France,Pyramide Distribution,312926,['Box Office France'],"['17 au 24 août 2016', '24 au 31 août 2016']",85 331,55 822
Passages,28 juin 2023,"['Drame', 'Romance']",1h 32min,Ira Sachs,"['Ira Sachs', 'Maurício Zacharias']","['Franz Rogowski', 'Ben Whishaw', 'Adèle Exarchopoulos']","2,8","2,7","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,SBS Distribution,128393,['Box Office France'],"['28 juin au 5 juillet 2023', '05 au 12 juillet 2023']",11 227,4 894
Gisaengchung,5 juin 2019,['Thriller'],2h 12min,Bong Joon Ho,"['Bong Joon Ho', 'Jin Won Han']","['Song Kang-Ho', 'Woo-sik Choi', 'Park So-Dam']","4,8","4,5","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Corée du Sud,The Jokers / Les Bookmakers,1139748,['Box Office France'],"['05 au 12 juin 2019', '12 au 19 juin 2019']",376 842,231 685
Novembre,5 octobre 2022,"['Thriller', 'Policier']",1h 47min,Cédric Jimenez,"['Olivier Demangel', 'Cédric Jimenez']","['Jean Dujardin', 'Anaïs Demoustier', 'Sandrine Kiberlain']","3,5","4,1",,France,StudioCanal,373652,['Box Office France'],"['05 au 12 octobre 2022', '12 au 19 octobre 2022']",592 681,429 138
Ich bin dein Mensch,22 juin 2022,"['Romance', 'Science fiction', 'Comédie', 'Drame']",1h 45min,Maria Schrader,"['Maria Schrader', 'Jan Schomburg']","['Maren Eggert', 'Dan Stevens', 'Sandra Hüller']","3,1","3,7",,Allemagne,Haut et Court,76865,['Box Office France'],"['22 au 29 juin 2022', '29 juin au 6 juillet 2022']",16 932,13 036
To Catch A Killer,26 avril 2023,"['Thriller', 'Policier']",1h 59min,Damián Szifron,"['Damián Szifron', 'Jonathan Wakeham']","['Shailene Woodley', 'Ben Mendelsohn', 'Jovan Adepo']","3,7","3,8",,U.S.A.,Metropolitan FilmExport,84279,['Box Office France'],"['26 avril au 3 mai 2023', '03 au 10 mai 2023']",100 146,49 024
See How They Run,14 septembre 2022,"['Comédie', 'Policier']",1h 38min,Tom George,['Mark Chappell'],"['Sam Rockwell', 'Saoirse Ronan', 'Adrien Brody']","2,8","2,9",,Grande-Bretagne,The Walt Disney Company France,31909,['Box Office France'],"['14 au 21 septembre 2022', '21 au 28 septembre 2022']",56 893,34 963
Alibi.com 2,8 février 2023,['Comédie'],1h 28min,Philippe Lacheau,"['Philippe Lacheau', 'Pierre Lacheau']","['Philippe Lacheau', 'Élodie Fontan', 'Tarek Boudali']","3,0","3,9",,France,StudioCanal,587290,['Box Office France'],"['01 au 8 février 2023', '08 au 15 février 2023']",81 100,1 017 788
Spider-Man: Into the Spider-Verse,12 décembre 2018,"['Animation', 'Action', 'Famille']",1h 57min,Bob Persichetti,"['Peter Ramsey', 'Rodney Rothman', 'Phil Lord', 'Rodney Rothman']","['Stéphane Bak', 'Shameik Moore', 'Jake Johnson (XVI)']","4,2","4,4",à partir de 8 ans (children's film),U.S.A.,Sony Pictures Releasing France,622393,['Box Office France'],"['12 au 19 décembre 2018', '19 au 26 décembre 2018']",218 728,149 041
Triangle of Sadness,28 septembre 2022,"['Drame', 'Comédie']",2h 29min,Ruben Östlund,['Ruben Östlund'],"['Harris Dickinson', 'Charlbi Dean Kriek', 'Woody Harrelson']","3,2","3,8",,Suède,Bac Films,498495,['Box Office France'],"['28 septembre au 5 octobre 2022', '05 au 12 octobre 2022']",179 786,105 276
Les Algues vertes,12 juillet 2023,"['Drame', 'Thriller']",1h 47min,Pierre Jolivet,"['Pierre Jolivet', 'Inès Léraud']","['Céline Sallette', 'Nina Meurisse', 'Julie Ferrier']","3,5","4,0",,France,Haut et Court,35698,['Box Office France'],['12 au 19 juillet 2023'],125 566,
