title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_date,box_office_first_week,box_office_second_week,press_eval,viewers_eval,views
Jeanne du Barry,16 mai 2023,"Drame, Historique, Romance",1h 56min,Maïwenn," Maïwenn, Teddy Lussi-Modeste"," Maïwenn, Johnny Depp, Benjamin Lavernhe",None,France,Le Pacte,Box Office France,"['10 au 17 mai 2023', '17 au 24 mai 2023']",45 029,356 152,"3,1","3,6",306952
Le Petit Spirou,27 septembre 2017,"Comédie, Famille",1h 26min,Nicolas Bary,"Laurent Turner, Nicolas Bary","Sacha Pinault, Pierre Richard, François Damiens",à partir de 8 ans (children's film),France,La Belle Company / Apollo Films,Box Office France,"['27 septembre au 4 octobre 2017', '04 au 11 octobre 2017']",224 512,101 870,"2,8","2,0",534117
Air,None,Drame,1h 52min,Ben Affleck,Alex Convery,"Matt Damon, Viola Davis, Ben Affleck",None,U.S.A.,,Box Office US,"['07 au 10 avril 2023', '14 au 17 avril 2023']",14 456 279,7 846 808,"3,7","3,9",28157
Les Misérables,20 novembre 2019,"Policier, Drame",1h 45min,Ladj Ly,"Ladj Ly, Giordano Gederlini","Damien Bonnard, Alexis Manenti, Djebril Zonga","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,Le Pacte,Box Office France,"['20 au 27 novembre 2019', '27 novembre au 4 décembre 2019']",559 378,383 748,"4,3","4,0",1555798
Black Adam,19 octobre 2022,"Action, Fantastique, Aventure",2h 05min,Jaume Collet-Serra,"Adam Sztykiel, Rory Haines","Dwayne Johnson, Aldis Hodge, Pierce Brosnan",None,U.S.A.,Warner Bros. France,Box Office France,"['19 au 26 octobre 2022', '26 octobre au 2 novembre 2022']",713 308,657 103,"2,1","2,8",127921
The Hunger Games,21 mars 2012,"Action, Drame, Science fiction",2h 22min,Gary Ross,"Gary Ross, Suzanne Collins","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Metropolitan FilmExport,Box Office France,"['21 au 28 mars 2012', '28 mars au 4 avril 2012']",509 426,331 782,"3,4","3,8",6032929
"Simone, le voyage du siècle",12 octobre 2022,"Biopic, Drame",2h 20min,Olivier Dahan,Olivier Dahan,"Elsa Zylberstein, Rebecca Marder, Élodie Bouchez",None,France,Warner Bros. France,Box Office France,"['12 au 19 octobre 2022', '19 au 26 octobre 2022']",486 242,355 869,"3,1","4,1",228761
Les Algues vertes,12 juillet 2023,"Drame, Thriller",1h 47min,Pierre Jolivet,"Pierre Jolivet, Inès Léraud","Céline Sallette, Nina Meurisse, Julie Ferrier",None,France,Haut et Court,Box Office France,['12 au 19 juillet 2023'],125 566,None,"3,5","4,0",36898
"Ruby Gillman, Teenage Kraken",28 juin 2023,"Animation, Aventure, Famille, Action, Comédie",1h 30min,Kirk DeMicco,"Faryn Pearl, Pam Brady, Brian C. Brown","Lana Condor, Toni Collette, Jane Fonda",None,U.S.A.,Universal Pictures International France,Box Office US,"['30 juin 2023 au 3 juillet 2023', '07 au 10 juillet 2023']",5 200 000,2 846 245,"2,7","2,6",88583
Where The Crawdads Sing,17 août 2022,"Drame, Thriller",2h 05min,Olivia Newman,Lucy Alibar,"Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson",None,U.S.A.,Sony Pictures Releasing France,Box Office France,"['17 au 24 août 2022', '24 au 31 août 2022']",110 381,55 542,"2,6","4,0",116005
Le Processus de paix,14 juin 2023,"Romance, Comédie dramatique",1h 32min,Ilan Klipper,"Ilan Klipper, Camille Chamoux","Camille Chamoux, Damien Bonnard, Ariane Ascaride",None,France,Le Pacte,Box Office France,"['14 au 21 juin 2023', '21 au 28 juin 2023']",34 918,15 048,"3,6","2,6",151934
Une belle course,21 septembre 2022,"Comédie dramatique, Drame, Comédie",1h 31min,Christian Carion,Cyril Gely,"Line Renaud, Dany Boon, Alice Isaaz",None,France,Pathé,Box Office France,"['21 au 28 septembre 2022', '28 septembre au 5 octobre 2022']",180 034,117 217,"3,1","3,9",69304
Stillwater,22 septembre 2021,"Thriller, Drame",2h 20min,Tom McCarthy,"Tom McCarthy, Thomas Bidegain","Matt Damon, Camille Cottin, Abigail Breslin",None,U.S.A.,Universal Pictures International France,Box Office France,"['22 au 29 septembre 2021', '29 septembre au 6 octobre 2021']",135 483,94 400,"3,3","3,6",208005
Don't Worry Darling,21 septembre 2022,Thriller,2h 03min,Olivia Wilde,Katie Silberman,"Florence Pugh, Harry Styles, Chris Pine","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Warner Bros. France,Box Office France,"['21 au 28 septembre 2022', '28 septembre au 5 octobre 2022']",151 272,91 621,"3,1","3,7",93212
Barbaque,27 octobre 2021,Comédie,1h 28min,Fabrice Eboué,"Fabrice Eboué, Vincent Solignac","Fabrice Eboué, Marina Foïs, Nicolas Lumbreras",Interdit aux moins de 12 ans,France,Apollo Films / TF1 Studio,Box Office France,"['27 octobre au 3 novembre 2021', '03 au 10 novembre 2021']",126 252,59 617,"3,3","3,6",234743
Zillion,21 juin 2023,"Drame, Biopic",2h 18min,Robin Pront,Robin Pront,"Jonas Vermeulen, Matteo Simoni, Charlotte Timmers",Interdit aux moins de 12 ans,Belgique,CGR EVENTS,Box Office France,"['21 au 28 juin 2023', '28 juin au 5 juillet 2023']",278,34,"2,9","3,6",3458
The Hunt,22 juin 2020,"Action, Thriller",1h 31min,Craig Zobel,"Damon Lindelof, Nick Cuse","Betty Gilpin, Hilary Swank, Wayne Duvall",Interdit aux moins de 12 ans,U.S.A.,Universal Pictures International France,Box Office France,"['24 juin au 1 juillet 2020', '01 au 8 juillet 2020']",19 864,17 071,"3,2","3,0",271060
Pride and Prejudice,18 janvier 2006,"Romance, Comédie",2h 09min,Joe Wright,"Deborah Moggach, Emma Thompson","Keira Knightley, Matthew Macfadyen, Rosamund Pike",None,U.S.A.,Mars Distribution,Box Office France,"['18 au 25 janvier 2006', '25 janvier au 1 février 2006']",167 705,112 825,"3,8","4,0",525532
Une femme de notre temps,5 octobre 2022,Drame,1h 36min,Jean Paul Civeyrac,Jean Paul Civeyrac,"Sophie Marceau, Johan Heldenbergh, Cristina Flutur",None,France,Rezo Films,Box Office France,"['05 au 12 octobre 2022', '12 au 19 octobre 2022']",13 090,5 004,"2,6","1,7",137853
Il sol dell’avvenire,28 juin 2023,"Comédie dramatique, Drame, Comédie",1h 35min,Nanni Moretti,"Francesca Marciano, Nanni Moretti","Nanni Moretti, Margherita Buy, Silvio Orlando",None,Italie,Le Pacte,Box Office France,"['28 juin au 5 juillet 2023', '05 au 12 juillet 2023']",91 786,47 190,"3,9","3,3",103252
The Wolf Of Wall Street,25 décembre 2013,"Biopic, Drame",2h 59min,Martin Scorsese,Terence Winter,"Leonardo DiCaprio, Jonah Hill, Margot Robbie",Interdit aux moins de 12 ans,U.S.A.,Metropolitan FilmExport,Box Office France,"['25 décembre 2013 au 1 janvier 2014', '01 au 8 janvier 2014']",1 013 324,701 800,"4,0","4,2",1501032
Petit Jésus,12 juillet 2023,Comédie,1h 35min,Julien Rigoulot,Julien Rigoulot,"Antoine Bertrand, Esteban Azuara Eymard, Gérard Darmon",None,France,Wild Bunch Distribution,Box Office France,['12 au 19 juillet 2023'],13 176,None,"2,7","3,0",13072
The Lost City of Z,15 mars 2017,Aventure,2h 21min,James Gray,James Gray,"Charlie Hunnam, Sienna Miller, Tom Holland",None,U.S.A.,StudioCanal,Box Office France,"['15 au 22 mars 2017', '22 au 29 mars 2017']",150 045,76 883,"4,5","3,9",661463
Dungeons & Dragons: Honor Among Thieves,12 avril 2023,"Fantastique, Aventure",2h 14min,Jonathan Goldstein (XII),"John Francis Daley, Jonathan Goldstein (XII), John Francis Daley","Chris Pine, Michelle Rodriguez, Regé-Jean Page",None,U.S.A.,Paramount Pictures France,Box Office France,"['12 au 19 avril 2023', '19 au 26 avril 2023']",420 168,314 725,"3,3","3,8",98181
The Batman,2 mars 2022,"Action, Policier, Thriller",2h 57min,Matt Reeves,"Matt Reeves, Peter Craig","Robert Pattinson, Zoë Kravitz, Paul Dano","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Warner Bros. France,Box Office France,"['02 au 9 mars 2022', '09 au 16 mars 2022']",1 165 588,635 144,"3,9","4,1",330861
En los márgenes,5 juillet 2023,Thriller,1h 43min,Juan Diego Botto,"Juan Diego Botto, Olga Rodríguez","Penélope Cruz, Luis Tosar, Christian Checa",None,Espagne,Condor Distribution,Box Office France,"['05 au 12 juillet 2023', '12 au 19 juillet 2023']",28 720,10 628,"3,6","3,5",211046
J'accuse,13 novembre 2019,"Drame, Historique, Thriller",2h 12min,Roman Polanski,"Robert Harris (II), Roman Polanski","Jean Dujardin, Louis Garrel, Emmanuelle Seigner",None,France,Gaumont Distribution,Box Office France,"['13 au 20 novembre 2019', '20 au 27 novembre 2019']",501 228,385 334,"4,0","3,8",747001
Nezouh,21 juin 2023,Drame,1h 43min,Soudade Kaadan,Soudade Kaadan,"Kinda Aloush, Hala Zein, Samir Almasri",None,Syrie,Pyramide Distribution,Box Office France,"['21 au 28 juin 2023', '28 juin au 5 juillet 2023']",3 771,2 079,"3,0","3,0",70434
La Dernière reine,19 avril 2023,"Historique, Drame",1h 50min,Damien Ounouri,"Adila Bendimerad, Damien Ounouri, Adila Bendimerad","Adila Bendimerad, Dali Benssalah, Mohamed Tahar Zaoui",None,Algérie,Jour2fête,Box Office France,"['19 au 26 avril 2023', '26 avril au 3 mai 2023']",21 049,17 812,"3,8","4,1",124003
As bestas,20 juillet 2022,"Thriller, Drame",2h 17min,Rodrigo Sorogoyen,"Isabel Peña, Rodrigo Sorogoyen","Marina Foïs, Denis Ménochet, Luis Zahera",None,Espagne,Le Pacte,Box Office France,"['20 au 27 juillet 2022', '27 juillet au 3 août 2022']",74 066,55 172,"4,2","4,1",266065
Un homme heureux,15 février 2023,Comédie,1h 29min,Tristan Séguéla,"Guy Laurent, Isabelle Lazard","Fabrice Luchini, Catherine Frot, Philippe Katerine",None,France,Gaumont Distribution,Box Office France,"['15 au 22 février 2023', '22 février au 1 mars 2023']",233 008,135 617,"3,1","2,9",87100
The Dark Knight,13 août 2008,"Action, Thriller",2h 32min,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Christian Bale, Heath Ledger, Aaron Eckhart",None,U.S.A.,Warner Bros. France,Box Office France,"['13 au 20 août 2008', '20 au 27 août 2008']",1 271 688,661 333,"4,0","4,5",2161057
Le Bleu du Caftan,22 mars 2023,"Drame, Romance",2h 02min,Maryam Touzani,Maryam Touzani,"Lubna Azabal, Saleh Bakri, Ayoub Missioui",None,France,Ad Vitam,Box Office France,"['22 au 29 mars 2023', '29 mars au 5 avril 2023']",54 381,41 365,"3,8","4,3",141361
Everything Everywhere All at Once,31 août 2022,"Action, Comédie, Drame, Science fiction, Arts Martiaux",2h 19min,Daniel Scheinert,"Daniel Kwan, Daniel Scheinert, Daniel Kwan","Michelle Yeoh, Ke Huy Quan, Jamie Lee Curtis",None,U.S.A.,Pathé Live,Box Office France,"['31 août au 7 septembre 2022', '07 au 14 septembre 2022']",132 121,76 098,"3,9","3,5",310236
La Nuit du verre d’eau,14 juin 2023,"Drame, Romance",1h 23min,Carlos Chahine,Carlos Chahine,"Marilyne Naaman, Antoine Merheb Harb, Nathalie Baye",None,France,JHR Films / Jour2Fête,Box Office France,"['14 au 21 juin 2023', '21 au 28 juin 2023']",12 657,7 364,"2,6","3,6",119155
Bullet Train,3 août 2022,"Action, Thriller",2h 07min,David Leitch,Zak Olkewicz,"Brad Pitt, Joey King, Aaron Taylor-Johnson",Interdit aux moins de 12 ans,U.S.A.,Sony Pictures Releasing France,Box Office France,"['03 au 10 août 2022', '10 au 17 août 2022']",491 067,313 237,"3,2","3,9",358989
