,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris
0,jeanne du barry,2023-05-16,"Drame, Historique, Romance",1h 56min,Maïwenn," Maïwenn, Teddy Lussi-Modeste"," Maïwenn, Johnny Depp, Benjamin Lavernhe",France,Le Pacte,Box Office France,356 152,"3,1","3,6",306952,0.0,14.3,12.55,13.83,13.9,12.2
1,le petit spirou,2017-09-27,"Comédie, Famille",1h 26min,Nicolas Bary,"Laurent Turner, Nicolas Bary","Sacha Pinault, Pierre Richard, François Damiens",France,La Belle Company / Apollo Films,Box Office France,224 512,"2,8","2,0",534117,9850941.0,20.79,14.23,17.5,17.71,15.49
3,les misérables,2019-11-20,"Policier, Drame",1h 45min,Ladj Ly,"Ladj Ly, Giordano Gederlini","Damien Bonnard, Alexis Manenti, Djebril Zonga",France,Le Pacte,Box Office France,559 378,"4,3","4,0",1555798,0.0,15.65,5.39,9.31,7.99,8.56
4,black adam,2022-10-19,"Action, Fantastique, Aventure",2h 05min,Jaume Collet-Serra,"Adam Sztykiel, Rory Haines","Dwayne Johnson, Aldis Hodge, Pierce Brosnan",U.S.A.,Warner Bros. France,Box Office France,713 308,"2,1","2,8",127921,200000000.0,22.34,14.78,18.99,19.03,16.89
5,the hunger games,2012-03-21,"Action, Drame, Science fiction",2h 22min,Gary Ross,"Gary Ross, Suzanne Collins","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",U.S.A.,Metropolitan FilmExport,Box Office France,509 426,"3,4","3,8",6032929,75000000.0,13.36,12.78,14.6,13.4,14.04
6,"simone, le voyage du siècle",2022-10-12,"Biopic, Drame",2h 20min,Olivier Dahan,Olivier Dahan,"Elsa Zylberstein, Rebecca Marder, Élodie Bouchez",France,Warner Bros. France,Box Office France,486 242,"3,1","4,1",228761,0.0,21.78,16.39,18.83,17.76,14.91
7,les algues vertes,2023-07-12,"Drame, Thriller",1h 47min,Pierre Jolivet,"Pierre Jolivet, Inès Léraud","Céline Sallette, Nina Meurisse, Julie Ferrier",France,Haut et Court,Box Office France,125 566,"3,5","4,0",36898,3700000.0,23.38,20.29,22.75,25.52,20.33
9,where the crawdads sing,2022-08-17,"Drame, Thriller",2h 05min,Olivia Newman,Lucy Alibar,"Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson",U.S.A.,Sony Pictures Releasing France,Box Office France,110 381,"2,6","4,0",116005,24000000.0,23.63,20.84,21.53,21.93,20.85
10,le processus de paix,2023-06-14,"Romance, Comédie dramatique",1h 32min,Ilan Klipper,"Ilan Klipper, Camille Chamoux","Camille Chamoux, Damien Bonnard, Ariane Ascaride",France,Le Pacte,Box Office France,34 918,"3,6","2,6",151934,0.0,22.19,23.34,21.09,22.09,20.44
11,une belle course,2022-09-21,"Comédie dramatique, Drame, Comédie",1h 31min,Christian Carion,Cyril Gely,"Line Renaud, Dany Boon, Alice Isaaz",France,Pathé,Box Office France,180 034,"3,1","3,9",69304,2900000.0,18.5,11.94,13.75,15.43,13.4
12,stillwater,2021-09-22,"Thriller, Drame",2h 20min,Tom McCarthy,"Tom McCarthy, Thomas Bidegain","Matt Damon, Camille Cottin, Abigail Breslin",U.S.A.,Universal Pictures International France,Box Office France,135 483,"3,3","3,6",208005,20000000.0,20.8,15.93,18.81,16.16,15.09
13,don't worry darling,2022-09-21,Thriller,2h 03min,Olivia Wilde,Katie Silberman,"Florence Pugh, Harry Styles, Chris Pine",U.S.A.,Warner Bros. France,Box Office France,151 272,"3,1","3,7",93212,35000000.0,18.5,11.94,13.75,15.43,13.4
14,barbaque,2021-10-27,Comédie,1h 28min,Fabrice Eboué,"Fabrice Eboué, Vincent Solignac","Fabrice Eboué, Marina Foïs, Nicolas Lumbreras",France,Apollo Films / TF1 Studio,Box Office France,126 252,"3,3","3,6",234743,0.0,17.93,9.96,13.45,12.49,10.73
15,zillion,2023-06-21,"Drame, Biopic",2h 18min,Robin Pront,Robin Pront,"Jonas Vermeulen, Matteo Simoni, Charlotte Timmers",Belgique,CGR EVENTS,Box Office France,278,"2,9","3,6",3458,7492030.0,22.47,22.09,22.19,22.08,21.01
16,the hunt,2020-06-22,"Action, Thriller",1h 31min,Craig Zobel,"Damon Lindelof, Nick Cuse","Betty Gilpin, Hilary Swank, Wayne Duvall",U.S.A.,Universal Pictures International France,Box Office France,19 864,"3,2","3,0",271060,14000000.0,20.05,19.45,18.59,18.26,18.96
18,une femme de notre temps,2022-10-05,Drame,1h 36min,Jean Paul Civeyrac,Jean Paul Civeyrac,"Sophie Marceau, Johan Heldenbergh, Cristina Flutur",France,Rezo Films,Box Office France,13 090,"2,6","1,7",137853,2700000.0,19.84,13.26,17.92,14.62,13.38
19,il sol dell’avvenire,2023-06-28,"Comédie dramatique, Drame, Comédie",1h 35min,Nanni Moretti,"Francesca Marciano, Nanni Moretti","Nanni Moretti, Margherita Buy, Silvio Orlando",Italie,Le Pacte,Box Office France,91 786,"3,9","3,3",103252,13266839.0,21.36,17.9,21.61,20.88,20.43
20,the wolf of wall street,2013-12-25,"Biopic, Drame",2h 59min,Martin Scorsese,Terence Winter,"Leonardo DiCaprio, Jonah Hill, Margot Robbie",U.S.A.,Metropolitan FilmExport,Box Office France,1 013 324,"4,0","4,2",1501032,100000000.0,16.1,5.96,8.82,6.51,7.23
21,petit jésus,2023-07-12,Comédie,1h 35min,Julien Rigoulot,Julien Rigoulot,"Antoine Bertrand, Esteban Azuara Eymard, Gérard Darmon",France,Wild Bunch Distribution,Box Office France,13 176,"2,7","3,0",13072,3100000.0,23.38,20.29,22.75,25.52,20.33
