Week Number,Start Date,End Date,Bordeaux,Lille,Lyon,Paris,Moyenne
1,2010-01-06,2010-01-12,-1.98,-2.09,-2.41,-3.15,-1.73
1,2011-01-05,2011-01-11,8.57,4.19,7.44,7.21,5.68
1,2012-01-04,2012-01-10,9.1,8.01,4.18,8.73,6.2
1,2013-01-02,2013-01-08,7.07,7.43,4.77,6.24,5.3
1,2014-01-01,2014-01-07,11.27,9.93,9.92,9.23,8.27
1,2014-12-31,2015-01-06,6.37,2.68,3.21,2.34,3.12
1,2016-01-06,2016-01-12,10.82,6.0,10.04,8.19,7.21
1,2017-01-04,2017-01-10,3.83,3.58,-0.51,2.44,2.07
1,2018-01-03,2018-01-09,10.81,5.69,10.15,7.33,7.0
1,2019-01-02,2019-01-08,2.98,5.28,3.03,5.84,3.63
1,2020-01-01,2020-01-07,7.15,5.32,4.53,6.97,4.99
1,2021-01-06,2021-01-12,1.14,1.99,-0.51,1.65,1.05
1,2022-01-05,2022-01-11,7.31,2.53,2.82,3.88,3.51
1,2023-01-04,2023-01-10,9.92,9.36,8.83,8.83,7.59
2,2010-01-13,2010-01-19,6.34,2.61,4.25,3.19,3.68
2,2011-01-12,2011-01-18,9.98,9.31,8.58,8.61,7.7
2,2012-01-11,2012-01-17,2.38,4.82,1.08,3.49,2.75
2,2013-01-09,2013-01-15,6.28,-0.01,2.99,3.05,2.86
2,2014-01-08,2014-01-14,10.36,5.88,8.06,6.35,6.53
2,2015-01-07,2015-01-13,9.06,8.0,6.04,7.74,6.57
2,2016-01-13,2016-01-19,5.27,1.59,1.41,1.91,2.44
2,2017-01-11,2017-01-17,7.14,3.58,2.34,2.93,3.6
2,2018-01-10,2018-01-16,7.77,5.34,6.47,5.07,5.33
2,2019-01-09,2019-01-15,5.91,5.54,2.97,6.55,4.59
2,2020-01-08,2020-01-14,8.79,10.08,6.06,8.52,7.09
2,2021-01-13,2021-01-19,7.62,3.37,3.43,5.06,4.3
2,2022-01-12,2022-01-18,1.42,2.64,-0.97,1.73,1.36
2,2023-01-11,2023-01-17,9.68,7.36,6.79,7.95,6.76
3,2010-01-20,2010-01-26,5.44,1.89,2.44,3.57,3.27
3,2011-01-19,2011-01-25,2.55,4.67,0.0,3.25,2.69
3,2012-01-18,2012-01-24,9.87,6.13,5.96,7.28,6.45
3,2013-01-16,2013-01-22,3.9,-3.93,0.31,-2.46,0.16
3,2014-01-15,2014-01-21,7.67,5.37,6.08,6.99,5.82
3,2015-01-14,2015-01-20,5.61,4.51,7.27,3.05,4.69
3,2016-01-20,2016-01-26,11.1,5.87,4.5,4.28,5.75
3,2017-01-18,2017-01-24,0.59,-0.29,-4.8,-3.6,-1.02
3,2018-01-17,2018-01-23,10.67,5.41,8.32,6.53,6.79
3,2019-01-16,2019-01-22,6.02,1.55,2.25,1.22,2.81
3,2020-01-15,2020-01-21,6.6,5.15,5.75,6.05,5.31
3,2021-01-20,2021-01-26,5.96,3.85,6.71,7.38,5.38
3,2022-01-19,2022-01-25,2.85,3.27,0.79,3.2,2.62
3,2023-01-18,2023-01-24,1.29,1.7,0.82,1.84,1.73
4,2010-01-27,2010-02-02,2.13,0.94,-0.55,1.56,1.62
4,2011-01-26,2011-02-01,1.71,-0.04,-0.87,-0.75,0.81
4,2012-01-25,2012-01-31,4.5,3.26,5.6,3.57,4.19
4,2013-01-23,2013-01-29,4.75,-0.84,1.18,2.96,2.41
4,2014-01-22,2014-01-28,8.72,4.64,4.96,5.23,5.51
4,2015-01-21,2015-01-27,2.85,1.92,1.93,2.31,2.6
4,2016-01-27,2016-02-02,11.23,9.35,9.15,8.47,8.44
4,2017-01-25,2017-01-31,5.12,2.62,1.87,3.79,3.48
4,2018-01-24,2018-01-30,5.49,5.84,7.83,7.47,6.13
4,2019-01-23,2019-01-29,6.74,2.54,2.28,4.27,3.97
4,2020-01-22,2020-01-28,10.01,4.46,4.83,0.94,4.85
4,2021-01-27,2021-02-02,12.41,5.79,9.0,9.12,8.06
4,2022-01-26,2022-02-01,4.04,5.31,-0.24,7.22,4.07
4,2023-01-25,2023-01-31,5.29,4.78,1.31,3.88,3.85
5,2010-02-03,2010-02-09,7.49,3.31,5.19,4.11,5.02
5,2011-02-02,2011-02-08,8.07,7.19,3.74,6.8,6.16
5,2012-02-01,2012-02-07,-2.12,-4.89,-6.15,-4.69,-2.57
5,2013-01-30,2013-02-05,11.18,7.2,6.87,8.02,7.65
5,2014-01-29,2014-02-04,6.59,5.33,5.36,4.7,5.4
5,2015-01-28,2015-02-03,6.18,2.8,2.33,3.37,3.94
5,2016-02-03,2016-02-09,10.22,8.13,8.23,7.74,7.86
5,2017-02-01,2017-02-07,9.39,6.5,7.39,7.8,7.22
5,2018-01-31,2018-02-06,4.78,3.85,3.94,2.39,3.99
5,2019-01-30,2019-02-05,7.79,1.18,2.47,2.93,3.87
5,2020-01-29,2020-02-04,13.45,7.61,10.52,10.87,9.49
5,2021-02-03,2021-02-09,9.31,3.14,7.77,6.56,6.36
5,2022-02-02,2022-02-08,8.06,6.23,5.6,7.83,6.54
5,2023-02-01,2023-02-07,5.88,7.46,4.49,5.76,5.72
6,2010-02-10,2010-02-16,0.29,-1.72,-2.79,-1.45,0.07
6,2011-02-09,2011-02-15,7.32,7.86,6.21,8.42,7.16
6,2012-02-08,2012-02-14,-2.41,-2.81,-5.31,-1.94,-1.29
6,2013-02-06,2013-02-12,5.24,0.92,0.5,2.54,3.04
6,2014-02-05,2014-02-11,8.57,6.51,6.65,7.64,7.07
6,2015-02-04,2015-02-10,2.79,2.45,0.24,1.15,2.53
6,2016-02-10,2016-02-16,7.1,2.57,4.52,3.83,4.8
6,2017-02-08,2017-02-14,7.78,3.18,7.12,3.11,5.44
6,2018-02-07,2018-02-13,4.24,1.52,1.48,0.22,2.69
6,2019-02-06,2019-02-12,9.67,7.08,4.24,6.88,6.77
6,2020-02-05,2020-02-11,9.5,6.76,9.12,7.54,7.78
6,2021-02-10,2021-02-16,8.25,0.54,2.64,-0.48,3.39
6,2022-02-09,2022-02-15,7.92,6.03,7.81,5.88,6.73
6,2023-02-08,2023-02-14,5.37,6.03,3.26,4.17,4.97
7,2010-02-17,2010-02-23,7.15,2.63,6.55,5.5,5.77
7,2011-02-16,2011-02-22,8.58,3.72,5.94,3.68,5.78
7,2012-02-15,2012-02-21,3.69,4.29,3.71,4.45,4.63
7,2013-02-13,2013-02-19,8.0,2.74,1.85,2.27,4.37
7,2014-02-12,2014-02-18,11.6,7.17,8.44,6.39,8.12
7,2015-02-11,2015-02-17,6.26,4.43,6.18,4.95,5.76
7,2016-02-17,2016-02-23,6.89,5.57,8.37,3.45,6.26
7,2017-02-15,2017-02-21,9.95,8.34,8.16,8.36,8.36
7,2018-02-14,2018-02-20,9.91,4.13,4.75,4.65,6.09
7,2019-02-13,2019-02-19,8.67,6.28,11.04,8.48,8.29
7,2020-02-12,2020-02-18,10.26,7.49,9.22,10.62,8.92
7,2021-02-17,2021-02-23,12.01,9.19,13.61,12.69,10.9
7,2022-02-16,2022-02-22,10.18,8.34,9.98,10.18,9.14
7,2023-02-15,2023-02-21,9.41,7.73,8.59,8.79,8.3
8,2010-02-24,2010-03-02,11.41,7.04,8.69,8.34,8.7
8,2011-02-23,2011-03-01,7.57,5.24,5.46,7.42,6.74
8,2012-02-22,2012-02-28,8.24,7.52,4.8,8.26,7.36
8,2013-02-20,2013-02-26,1.99,0.11,-0.9,-0.22,1.8
8,2014-02-19,2014-02-25,9.29,9.35,8.24,8.14,8.6
8,2015-02-18,2015-02-24,5.61,4.55,6.35,4.49,5.8
