cast,director,distributor,duration,genres,nationality,release_date,title,views
"Jason Statham,Jing Wu,Cliff Curtis","Erich Hoeber,Ben Wheatley,Jon Hoeber",Warner Bros. France,1h 56min,"Thriller,Action",U.S.A.,2023-08-02,Meg 2: The Trench,40483
"Anna Castillo,Oriol Pla,Quim Ávila","Jaime Rosales,Bárbara Díez",Condor Distribution,1h 46min,Drame,Espagne,2023-08-02,Girasoles silvestres,28666
"Pierfrancesco Favino,Kasia Smutniak,Bérénice Bejo","Francesca Archibugi,Laura Paolucci",Paname Distribution,2h 06min,Drame,Italie,2023-08-02,Il colibrì,38975
"Pablo Cobo,Louis Peres,Marta Nieto","Edouard Salier,Mauricio Carrasco",Rezo Films,1h 50min,Drame,France,2023-08-02,Tropic,76876
"Kilala Inori,Yohta Kawase,Misa Wada",Yamasaki Juichiro,Survivance,1h 37min,Drame,Japon,2023-08-02,Yamabuki,27257
"Jella Haase,Lisa-Marie Koroll,Stephan Benson","Caroline Origer,Silja Clemens",KMBO,1h 25min,"Famille,Animation,Fantastique",Luxembourg,2023-08-02,My Fairy Troublemaker,43776
"Minami Takayama,Megumi Hayashibara,Rikiya Koyama","Takeharu Sakurai,Yuzuru Tachikawa",Eurozoom,1h 49min,"Animation,Action,Aventure",Japon,2023-08-02,Meitantei Conan: Kurogane no Submarine,731
"Hugo Trophardy,Guillaume De Tonquédec,Anne Marivin",Pascal Bourdiaux,SND,1h 24min,Comédie,France,2023-08-02,Les Blagues de Toto 2 - classe verte,5477
"Steve Laplante,Larissa Corriveau,Fabiola N. Aladin","Éric K. Boulianne,Stéphane Lafleur",UFO Distribution,1h 44min,Comédie,Canada,2023-08-02,On dirait la planète Mars,32742
"Baran Kosari,Ali Bagheri",Ahmad Bahrami,Bodega Films,1h 38min,Thriller,Iran,2023-08-02,The Wastetown,326
"Pawan Kalyan,Sai Dharam Tej,Brahmanandam Kanneganti"," Samuthirakani,Trivikram Srinivas",Friday Entertainment,2h 12min,"Comédie dramatique,Fantastique",Inde,2023-08-02,Bro,
"Vicky Luengo,Pol López,Ilyass El Ouahdani","Mikel Gurrea,Francisco Kosterlitz",Tamasa Distribution,1h 56min,Drame,Espagne,2023-08-02,Suro,1246
,Alba Sotorra,Urban Distribution,,,Espagne,2023-08-02,Francesca et l'amour,
"Raphaël Quenard,Blanche Gardin,Pio Marmaï",Quentin Dupieux,Diaphana Distribution,1h 07min,Comédie,France,2023-08-02,Yannick,48874
