title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views
Guardians of the Galaxy Vol. 3,3 mai 2023,"Action, Fantastique, Science fiction",2h 30min,James Gunn,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista",,U.S.A.,The Walt Disney Company France,Box Office France,1323124,"3,6","4,2",251776
Sexygénaires,14 juin 2023,Comédie,1h 20min,Robin Sykes,"Antoine Raimbault, Robin Sykes","Thierry Lhermitte, Patrick Timsit, Marie Bunel",,France,Apollo Films / Orange Studio,Box Office France,63084,"2,8","2,6",25555
Pornomelancolía,21 juin 2023,Drame,1h 34min,Manuel Abramovich,"Manuel Abramovich, Fernando Krapp","Lalo Santos,  Diablo, Brandon Ley",Interdit aux moins de 16 ans,Argentine,Epicentre Films,Box Office France,3611,"3,5","2,6",6778
L'Improbable voyage d'Harold Fry,31 mai 2023,Drame,1h 48min,Hettie MacDonald,,"Jim Broadbent, Penelope Wilton, Linda Bassett",,Grande-Bretagne,Wild Bunch Distribution,Box Office France,24634,"2,7","3,8",16351
Sick Of Myself,31 mai 2023,Comédie dramatique,1h 37min,Kristoffer Borgli,Kristoffer Borgli,"Kristine Kujath Thorp, Eirik Sæther, Fanny Vaager","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Norvège,Tandem,Box Office France,14638,"3,4","3,4",87714
La Syndicaliste,1 mars 2023,"Thriller, Drame",2h 01min,Jean-Paul Salomé,"Fadette Drouard, Jean-Paul Salomé","Isabelle Huppert, Grégory Gadebois, Yvan Attal",,France,Le Pacte,Box Office France,192422,"3,3","3,9",182409
J’irai mourir dans les Carpates,16 septembre 2020,"Comédie, Thriller",1h 36min,Antoine de Maximy,Antoine de Maximy,"Antoine de Maximy, Alice Pol, Max Boublil",,France,Apollo Films,Box Office France,50838,"2,5","3,7",153661
Astérix et Obélix : L'Empire du milieu,1 février 2023,"Aventure, Comédie",1h 52min,Guillaume Canet,"Guillaume Canet, Julien Hervé","Guillaume Canet, Gilles Lellouche, Marion Cotillard",à partir de 8 ans (children's film),France,Pathé,Box Office France,1882686,"2,4","1,8",409035
Whitney Houston: I Wanna Dance With Somebody,21 décembre 2022,"Biopic, Musical",2h 26min,Kasi Lemmons,Anthony McCarten,"Naomi Ackie, Stanley Tucci, Tamara Tunie",,U.S.A.,Sony Pictures Releasing France,Box Office France,64834,"2,5","3,5",54456
Tout Simplement Noir,8 juillet 2020,Comédie,1h 30min,Jean-Pascal Zadi,"John Wax, Kamel Guemra, Jean-Pascal Zadi","Jean-Pascal Zadi, Caroline Anglade,  Fary",,France,Gaumont Distribution,Box Office France,255537,"3,8","2,8",642294
