title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_date,box_office_first_week,box_office_second_week,press_eval,viewers_eval,views
La Nuit du 12,13 juillet 2022,"Thriller, Policier",1h 54min,Dominik Moll,"Dominik Moll, Gilles Marchand","Bastien Bouillon, Bouli Lanners, Théo Cholbi",None,France,Haut et Court,Box Office France,"['13 au 20 juillet 2022', '20 au 27 juillet 2022']",96 667,72 191,"4,4","4,1",283643
C.R.A.Z.Y.,3 mai 2006,Drame,2h 07min,Jean-Marc Vallée,"François Boulay, Jean-Marc Vallée","Michel Côté, Marc-André Grondin, Émile Vallée",None,Canada,L'Atelier Distribution,Box Office France,"['03 au 10 mai 2006', '10 au 17 mai 2006']",91 203,65 988,"3,8","3,8",310830
Tenet,26 août 2020,"Action, Science fiction",2h 30min,Christopher Nolan,Christopher Nolan,"John David Washington, Kenneth Branagh, Robert Pattinson",None,U.S.A.,Warner Bros. France,Box Office France,"['26 août au 2 septembre 2020', '02 au 9 septembre 2020']",948 378,411 702,"3,6","3,7",768746
Everything Everywhere All at Once,31 août 2022,"Action, Comédie, Drame, Science fiction, Arts Martiaux",2h 19min,Daniel Scheinert,"Daniel Kwan, Daniel Scheinert, Daniel Kwan","Michelle Yeoh, Ke Huy Quan, Jamie Lee Curtis",None,U.S.A.,Pathé Live,Box Office France,"['31 août au 7 septembre 2022', '07 au 14 septembre 2022']",132 121,76 098,"3,9","3,5",310283
A Noiva,28 juin 2023,Drame,1h 21min,Sérgio Tréfaut,Sérgio Tréfaut,"Joana Bernardo, Hugo Bentes, Lola Dueñas",None,Portugal,Alfama Films,Box Office France,"['28 juin au 5 juillet 2023', '05 au 12 juillet 2023']",298,64,"2,9","2,0",2765
Le Bleu du Caftan,22 mars 2023,"Drame, Romance",2h 02min,Maryam Touzani,Maryam Touzani,"Lubna Azabal, Saleh Bakri, Ayoub Missioui",None,France,Ad Vitam,Box Office France,"['22 au 29 mars 2023', '29 mars au 5 avril 2023']",54 381,41 365,"3,8","4,3",141420
As bestas,20 juillet 2022,"Thriller, Drame",2h 17min,Rodrigo Sorogoyen,"Isabel Peña, Rodrigo Sorogoyen","Marina Foïs, Denis Ménochet, Luis Zahera",None,Espagne,Le Pacte,Box Office France,"['20 au 27 juillet 2022', '27 juillet au 3 août 2022']",74 066,55 172,"4,2","4,1",266124
Scream VI,8 mars 2023,Epouvante-horreur,2h 02min,Matt Bettinelli-Olpin,"Tyler Gillett, James Vanderbilt, Guy Busick","Melissa Barrera, Jenna Ortega, Courteney Cox",Interdit aux moins de 12 ans,U.S.A.,Paramount Pictures France,Box Office France,"['08 au 15 mars 2023', '15 au 22 mars 2023']",464 821,372 605,"2,4","3,1",307919
Black Adam,19 octobre 2022,"Action, Fantastique, Aventure",2h 05min,Jaume Collet-Serra,"Adam Sztykiel, Rory Haines","Dwayne Johnson, Aldis Hodge, Pierce Brosnan",None,U.S.A.,Warner Bros. France,Box Office France,"['19 au 26 octobre 2022', '26 octobre au 2 novembre 2022']",713 308,657 103,"2,1","2,8",129228
Coco,15 novembre 2017,"Animation, Fantastique, Famille",1h 45min,Lee Unkrich,"Adrian Molina, Adrian Molina, Matthew Aldrich","Andrea Santamaria, Anthony Gonzalez (VIII), Benjamin Bratt",à partir de 8 ans (children's film),U.S.A.,The Walt Disney Company France,Box Office France,"['29 novembre au 6 décembre 2017', '06 au 13 décembre 2017']",948 846,619 289,"4,1","4,5",1508213
Stillwater,22 septembre 2021,"Thriller, Drame",2h 20min,Tom McCarthy,"Tom McCarthy, Thomas Bidegain","Matt Damon, Camille Cottin, Abigail Breslin",None,U.S.A.,Universal Pictures International France,Box Office France,"['22 au 29 septembre 2021', '29 septembre au 6 octobre 2021']",135 483,94 400,"3,3","3,6",208070
