,duration,nationality,box_office_first_week,views,budget,season,is_holiday,proportion_stars_actors,proportion_stars_producers,proportion_stars_director,distributor_avg_frequency,genre_action,genre_animation,genre_arts martiaux,genre_aventure,genre_biopic,genre_bollywood,genre_comédie,genre_comédie dramatique,genre_comédie musicale,genre_divers,genre_drame,genre_epouvante-horreur,genre_erotique,genre_espionnage,genre_expérimental,genre_famille,genre_fantastique,genre_guerre,genre_historique,genre_judiciaire,genre_musical,genre_policier,genre_péplum,genre_romance,genre_science fiction,genre_sport event,genre_thriller,genre_western
0,150,U.S.A.,1323124,251776.0,250000000.0,Spring,True,2,0,0,114.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,80,France,63084,25555.0,6000000.0,Summer,False,1,0,0,27.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,94,Argentine,3611,6778.0,0.0,Summer,False,0,0,0,71.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,97,Norvège,14638,87714.0,0.0,Spring,False,0,0,0,15.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,121,France,192422,182409.0,0.0,Spring,True,1,0,0,206.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,96,France,50838,153661.0,300000.0,Autumn,False,0,0,0,43.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,112,France,1882686,409035.0,72000000.0,Winter,False,3,1,1,156.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,146,U.S.A.,64834,54456.0,50000000.0,Winter,True,0,0,0,154.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,90,France,255537,642294.0,0.0,Summer,True,0,0,0,124.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,91,France,643863,979150.0,8600000.0,Summer,False,2,0,0,156.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,108,U.S.A.,197450,196244.0,25000000.0,Autumn,True,2,1,1,114.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,103,U.S.A.,54361,76825.0,45000000.0,Summer,False,1,0,0,154.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,108,France,2151921,1343387.0,0.0,Winter,True,2,1,1,156.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,95,France,438142,132143.0,0.0,Spring,False,1,0,0,23.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,96,U.S.A.,25767,133782.0,29100000.0,Spring,False,1,0,0,258.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,119,U.S.A.,100146,84179.0,0.0,Spring,True,1,0,0,258.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
16,90,France,12466,99053.0,1200000.0,Winter,True,0,0,0,95.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,130,Grande-Bretagne,47695,26864.0,0.0,Spring,False,1,0,0,134.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,123,U.S.A.,151272,92925.0,35000000.0,Autumn,False,1,0,0,183.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,126,U.S.A.,362905,659245.0,175000000.0,Spring,False,2,1,1,183.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,144,U.S.A.,388700,210441.0,190000000.0,Summer,False,0,0,0,183.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
22,95,Italie,91786,100764.0,13266839.0,Summer,False,0,0,0,206.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,113,U.S.A.,238040,877638.0,22000000.0,Winter,False,2,1,1,142.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,108,U.S.A.,306107,49967.0,16000000.0,Summer,False,0,0,0,154.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,91,Finlande,44625,186480.0,6200000.0,Summer,False,0,0,0,142.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,99,France,79426,222289.0,4920000.0,Summer,False,0,0,0,160.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,140,République tchèque,34803,77006.0,0.0,Summer,False,0,0,0,26.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,103,Espagne,28720,210219.0,0.0,Summer,False,1,0,0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,90,France,58679,161212.0,0.0,Summer,False,1,1,0,160.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,106,U.S.A.,117498,145667.0,25000000.0,Summer,False,2,1,1,243.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,141,U.S.A.,550808,317420.0,100000000.0,Spring,False,0,0,0,154.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,99,France,660421,177900.0,86000000.0,Summer,False,0,0,0,142.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,102,U.S.A.,426818,93927.0,200000000.0,Summer,False,2,0,0,114.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,154,U.S.A.,1089875,291164.0,300000000.0,Summer,False,2,0,0,114.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,99,Japon,218070,153338.0,0.0,Autumn,False,0,0,0,154.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,105,France,559378,1555406.0,0.0,Autumn,False,0,0,0,206.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,87,France,12196,104368.0,4000000.0,Spring,False,1,0,0,95.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,121,U.S.A.,735356,281289.0,200000000.0,Winter,True,0,0,0,114.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,87,France,111837,40794.0,0.0,Winter,False,0,0,0,27.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,177,U.S.A.,1165588,330830.0,185000000.0,Spring,True,1,0,0,183.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41,105,U.S.A.,948846,1508099.0,175000000.0,Autumn,False,0,0,0,114.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42,120,France,68373,159751.0,3500000.0,Autumn,False,1,0,0,127.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,123,France,630004,1326317.0,17900000.0,Winter,True,3,1,1,156.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,125,U.S.A.,110381,115627.0,24000000.0,Summer,True,0,0,0,154.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,122,France,54381,140979.0,0.0,Spring,False,0,0,0,128.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,93,U.S.A.,187043,65512.0,45000000.0,Spring,False,1,0,0,154.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
48,148,U.S.A.,1305534,3783086.0,160000000.0,Summer,True,3,1,1,183.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
49,88,France,126252,233691.0,0.0,Autumn,True,1,0,0,23.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,100,France,23152,173629.0,0.0,Winter,False,0,0,0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,93,France,152695,203094.0,0.0,Autumn,False,0,0,0,160.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,140,France,486242,228611.0,0.0,Autumn,False,0,0,0,183.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,147,U.S.A.,61418,202264.0,9000000.0,Summer,True,0,0,0,258.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,125,U.S.A.,713308,127786.0,200000000.0,Autumn,False,1,0,0,183.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,110,France,35020,161310.0,0.0,Winter,True,1,0,0,73.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,105,Allemagne,16932,76820.0,0.0,Summer,False,0,0,0,95.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
58,131,U.S.A.,1529608,2331023.0,170000000.0,Spring,False,2,0,0,107.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,90,Japon,52791,188166.0,0.0,Spring,True,0,0,0,23.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,127,U.S.A.,491067,358804.0,90000000.0,Summer,True,1,0,0,154.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,91,France,83427,149535.0,0.0,Summer,True,2,0,0,43.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
