title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,year
guardians of the galaxy vol. 3,2023-05-03,"Action, Fantastique, Science fiction",120,James Gunn,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista",U.S.A.,The Walt Disney Company France,1323124,3.6,4.2,251776.0,250000000.0,16.51,12.96,18.18,18.45,14.96,Spring,2023
sexygénaires,2023-06-14,Comédie,60,Robin Sykes,"Antoine Raimbault, Robin Sykes","Thierry Lhermitte, Patrick Timsit, Marie Bunel",France,Apollo Films / Orange Studio,63084,2.8,2.6,25555.0,6000000.0,22.19,23.34,21.09,22.09,20.44,Summer,2023
pornomelancolía,2023-06-21,Drame,60,Manuel Abramovich,"Manuel Abramovich, Fernando Krapp","Lalo Santos,  Diablo, Brandon Ley",Argentine,Epicentre Films,3611,3.5,2.6,6778.0,0.0,22.47,22.09,22.19,22.08,21.01,Summer,2023
sick of myself,2023-05-31,Comédie dramatique,60,Kristoffer Borgli,Kristoffer Borgli,"Kristine Kujath Thorp, Eirik Sæther, Fanny Vaager",Norvège,Tandem,14638,3.4,3.4,87714.0,0.0,20.18,16.62,22.32,19.9,20.05,Spring,2023
la syndicaliste,2023-03-01,"Thriller, Drame",120,Jean-Paul Salomé,"Fadette Drouard, Jean-Paul Salomé","Isabelle Huppert, Grégory Gadebois, Yvan Attal",France,Le Pacte,192422,3.3,3.9,182409.0,0.0,4.54,3.35,4.17,2.44,3.75,Spring,2023
j’irai mourir dans les carpates,2020-09-16,"Comédie, Thriller",60,Antoine de Maximy,Antoine de Maximy,"Antoine de Maximy, Alice Pol, Max Boublil",France,Apollo Films,50838,2.5,3.7,153661.0,300000.0,24.06,18.45,20.95,22.79,20.12,Autumn,2020
astérix et obélix : l'empire du milieu,2023-02-01,"Aventure, Comédie",60,Guillaume Canet,"Guillaume Canet, Julien Hervé","Guillaume Canet, Gilles Lellouche, Marion Cotillard",France,Pathé,1882686,2.4,1.8,409035.0,72000000.0,5.72,7.46,5.88,4.49,5.76,Winter,2023
whitney houston: i wanna dance with somebody,2022-12-21,"Biopic, Musical",120,Kasi Lemmons,Anthony McCarten,"Naomi Ackie, Stanley Tucci, Tamara Tunie",U.S.A.,Sony Pictures Releasing France,64834,2.5,3.5,54456.0,50000000.0,19.39,9.21,13.53,12.32,10.89,Winter,2022
tout simplement noir,2020-07-08,Comédie,60,Jean-Pascal Zadi,"John Wax, Kamel Guemra, Jean-Pascal Zadi","Jean-Pascal Zadi, Caroline Anglade,  Fary",France,Gaumont Distribution,255537,3.8,2.8,642294.0,0.0,22.41,16.85,22.89,22.95,21.37,Summer,2020
retour chez ma mère,2016-06-01,Comédie,60,Eric Lavaine,"Eric Lavaine, Héctor Cabello Reyes","Alexandra Lamy, Josiane Balasko, Mathilde Seigner",France,Pathé,643863,2.9,3.0,979150.0,8600000.0,18.27,16.24,20.79,17.71,14.6,Summer,2016
the french dispatch,2021-10-27,"Comédie, Drame, Romance",60,Wes Anderson,Wes Anderson,"Timothée Chalamet, Léa Seydoux, Bill Murray",U.S.A.,The Walt Disney Company France,197450,3.5,3.3,196244.0,25000000.0,17.93,9.96,13.45,12.49,10.73,Autumn,2021
no hard feelings,2023-06-21,Comédie,60,Gene Stupnitsky,"Gene Stupnitsky, John M. Phillips","Jennifer Lawrence, Andrew Barth Feldman, Laura Benanti",U.S.A.,Sony Pictures Releasing France,54361,3.0,3.1,76825.0,45000000.0,22.47,22.09,22.19,22.08,21.01,Summer,2023
supercondriaque,2014-02-26,Comédie,60,Dany Boon,Dany Boon,"Dany Boon, Alice Pol, Kad Merad",France,Pathé,2151921,2.4,2.4,1343387.0,0.0,7.2,6.64,8.32,6.28,5.76,Winter,2014
sur les chemins noirs,2023-03-22,Drame,60,Denis Imbert,"Denis Imbert,  Diastème","Jean Dujardin, Joséphine Japy, Izïa Higelin",France,Apollo Films / TF1 Studio,438142,3.0,3.6,132143.0,0.0,11.13,8.32,12.74,11.92,10.68,Spring,2023
about my father,2023-05-31,Comédie,60,Laura Terruso,"Sebastian Maniscalco, Austen Earl","Sebastian Maniscalco, Robert De Niro, Leslie Bibb",U.S.A.,Metropolitan FilmExport,25767,2.3,2.0,133782.0,29100000.0,20.18,16.62,22.32,19.9,20.05,Spring,2023
to catch a killer,2023-04-26,"Thriller, Policier",60,Damián Szifron,"Damián Szifron, Jonathan Wakeham","Shailene Woodley, Ben Mendelsohn, Jovan Adepo",U.S.A.,Metropolitan FilmExport,100146,3.7,3.8,84179.0,0.0,14.48,11.15,15.9,14.83,13.54,Spring,2023
petites,2023-02-22,Drame,60,Julie Lerat-Gersant,"François Roy (III), Julie Lerat-Gersant, François Roy (III)","Pili Groyne, Romane Bohringer, Victoire Du Bois",France,Haut et Court,12466,3.5,3.8,99053.0,1200000.0,5.69,4.78,5.45,5.07,5.13,Winter,2023
emily,2023-03-15,"Biopic, Drame",120,Frances O'Connor,Frances O'Connor,"Emma Mackey, Fionn Whitehead, Oliver Jackson-Cohen",Grande-Bretagne,Wild Bunch Distribution,47695,3.1,3.7,26864.0,0.0,11.33,10.05,12.91,11.87,10.8,Spring,2023
don't worry darling,2022-09-21,Thriller,120,Olivia Wilde,Katie Silberman,"Florence Pugh, Harry Styles, Chris Pine",U.S.A.,Warner Bros. France,151272,3.1,3.7,92925.0,35000000.0,18.5,11.94,13.75,15.43,13.4,Autumn,2022
