,genre,duration,nationality,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,is_holiday,proportion_stars_actors,proportion_stars_producers,proportion_stars_director,distributor_avg_frequency
0,"Action, Fantastique, Science fiction",150,U.S.A.,1323124,3.6,4.2,251776.0,250000000.0,16.51,12.96,18.18,18.45,14.96,Spring,True,0.67,0.0,0,114.0
1,Comédie,80,France,63084,2.8,2.6,25555.0,6000000.0,22.19,23.34,21.09,22.09,20.44,Summer,False,0.33,0.0,0,27.0
2,Drame,94,Argentine,3611,3.5,2.6,6778.0,0.0,22.47,22.09,22.19,22.08,21.01,Summer,False,0.0,0.0,0,71.0
3,Comédie dramatique,97,Norvège,14638,3.4,3.4,87714.0,0.0,20.18,16.62,22.32,19.9,20.05,Spring,False,0.0,0.0,0,15.0
4,"Thriller, Drame",121,France,192422,3.3,3.9,182409.0,0.0,4.54,3.35,4.17,2.44,3.75,Spring,True,0.33,0.0,0,207.0
5,"Comédie, Thriller",96,France,50838,2.5,3.7,153661.0,300000.0,24.06,18.45,20.95,22.79,20.12,Autumn,False,0.0,0.0,0,43.0
6,"Aventure, Comédie",112,France,1882686,2.4,1.8,409035.0,72000000.0,5.72,7.46,5.88,4.49,5.76,Winter,False,1.0,0.5,1,156.0
7,"Biopic, Musical",146,U.S.A.,64834,2.5,3.5,54456.0,50000000.0,19.39,9.21,13.53,12.32,10.89,Winter,True,0.0,0.0,0,154.0
8,Comédie,90,France,255537,3.8,2.8,642294.0,0.0,22.41,16.85,22.89,22.95,21.37,Summer,True,0.0,0.0,0,124.0
9,Comédie,91,France,643863,2.9,3.0,979150.0,8600000.0,18.27,16.24,20.79,17.71,14.6,Summer,False,0.67,0.0,0,156.0
10,"Comédie, Drame, Romance",108,U.S.A.,197450,3.5,3.3,196244.0,25000000.0,17.93,9.96,13.45,12.49,10.73,Autumn,True,0.67,1.0,1,114.0
11,Comédie,103,U.S.A.,54361,3.0,3.1,76825.0,45000000.0,22.47,22.09,22.19,22.08,21.01,Summer,False,0.33,0.0,0,154.0
12,Comédie,108,France,2151921,2.4,2.4,1343387.0,0.0,7.2,6.64,8.32,6.28,5.76,Winter,True,0.67,1.0,1,156.0
13,Drame,95,France,438142,3.0,3.6,132143.0,0.0,11.13,8.32,12.74,11.92,10.68,Spring,False,0.33,0.0,0,23.0
14,Comédie,96,U.S.A.,25767,2.3,2.0,133782.0,29100000.0,20.18,16.62,22.32,19.9,20.05,Spring,False,0.33,0.0,0,258.0
